"sequence","SUBHOLDING","NAMA LOKASI","TIPE FASILITAS","KETERANGAN FASILITAS","ID FASILITAS","Seberapa puas Bapak / Ibu terhadap fasilitas Toilet kami?","Group_Seberapa puas Bapak / Ibu terhadap fasilitas Toilet kami?","Numeric_Seberapa puas Bapak / Ibu terhadap fasilitas Toilet kami?","Silakan berikan saran dan masukan Anda terkait fasilitas Toilet kami (Opsional)","Tags_Silakan berikan saran dan masukan Anda terkait fasilitas Toilet kami (Opsional)","Sentiment_Silakan berikan saran dan masukan Anda terkait fasilitas Toilet kami (Opsional)","Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Numeric_Staff dan Petugas (Penampilan, keramahan, dll)-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Kelengkapan dan Ketersediaan Fasilitas-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Numeric_Kelengkapan dan Ketersediaan Fasilitas-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Kebersihan, Kenyamanan, dan Keamanan-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Numeric_Kebersihan, Kenyamanan, dan Keamanan-Berikan penilaian Anda terhadap kepuasan Anda dengan hal-hal berikut di Toilet kami","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya","Hal apa saja dari pelayanan Staff dan Petugas kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_1","Hal apa saja dari Kelengkapan dan Ketersediaan Fasilitas kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_2","Hal apa saja dari Kelengkapan dan Ketersediaan Fasilitas kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_3","Hal apa saja dari Kebersihan, Kenyamanan, dan Keamanan kami yang menurut Bapak / Ibu Memuaskan?","Other Choice-Lainnya_4","Hal apa saja dari Kebersihan, Kenyamanan, dan Keamanan kami yang menurut Bapak / Ibu Kurang Memuaskan?","Other Choice-Lainnya_5","Respondent Id","Survey Status","Survey Mode","Sync On-DateTime","Sync By","Response Time","Interviewer Id","Subscription Id","Project Id","Questionnaire Version","Channel Type","Is Anonymous","Test Response","Distribution Channel","Response Language","Camp Sent On Date Time","Inapp Trigger Type","Inapp Trigger Value","Name","Email","Phone Number","ID","Client Name","Company Name","Keyword","Platform Category","Tone","Published Date","Trigger Time","Response Imports","Campaign Id"
"54","IDM","TMII","TOILET","Merchandise Store","IDM-TMII-TOILET -Merchandise Store-01","5","Satisfied","5","Sekarang sangat bersih, harum, dan terawat. Benar-benar nyaman digunakan setelah berjelajah","Cleanliness and Hygiene of Toilets","Positive",,,,,"5","5",,,,,"Toilet duduk dan jongkok tersedia dalam kondisi bersih dan berfungsi dengan baik|Wastafel bersih dan berfungsi dengan baik|Tisu tersedia dengan cukup untuk digunakan",,,,"Toilet bersih dan terawat dengan baik|Toilet nyaman digunakan oleh pengunjung",,,,"6340b9c6-7d78-4a05-9af1-83f594e4f11a","Completed",,"07-10-2025 16:03:00",,"248867",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"55","IDM","TMII","TOILET","Pasar Nusantara","IDM-TMII-TOILET -Pasar Nusantara-01","5","Satisfied","5","Untuk fasilitas dan suasana di pasar nusantara cukup oke, beragam pilihan makanan juga enak dari yang ringan sampai yang berat. Cuma emang panas di siang hari","Additional Facilities and Amenities (Nursery Room, Exhaust Fans, Plants)","Positive",,,"5","5",,,,,,,"Toilet duduk dan jongkok tersedia dalam kondisi bersih dan berfungsi dengan baik|Cermin bersih dan dipasang dengan posisi yang nyaman digunakan|Wastafel bersih dan berfungsi dengan baik",,"Lainnya","Agak panas aja di pasar nusantara",,,,,"5e1930ad-3c0b-4e4c-9cc6-2a96464daa8a","Completed",,"08-10-2025 15:31:00",,"336384",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"56","IDM","TMII","TOILET","Elevated  Parking Basement Zona 2","IDM-TMII-TOILET -Elevated  Parking Basement Zona 2-01","4","Satisfied","4","Tolong tambahkan gantungan di toilet dan pengharum ruangan","Accessibility and Convenience (Gates, Gantungan, Baby Rooms)","Neutral",,,,,"4","4",,,,,"Tempat sampah tersedia dan rutin dikosongkan",,,,"Toilet bersih dan terawat dengan baik",,,,"ff87ea40-80c2-4ecc-a8c9-6394d84ab770","Completed",,"09-10-2025 15:16:00",,"124476",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"57","IDM","BOROBUDUR","TOILET","Simpul Gate","IDM-BOROBUDUR-TOILET-Simpul Gate-01","5","Satisfied","5","petugas ramah.ruangan harum bersih kering","Staff Performance and Service Quality","Positive",,,,,"5","5",,,,,"Toilet duduk dan jongkok tersedia dalam kondisi bersih dan berfungsi dengan baik|Urinoir bersih dan mudah digunakan|Air tersedia dengan lancar dan cukup untuk kebutuhan pengguna|Wastafel bersih dan berfungsi dengan baik|Tisu tersedia dengan cukup untuk digunakan|Sabun tersedia dan dapat digunakan dengan mudah|Pengering tangan berfungsi dengan baik|Lady bin tersedia dan bersih|Cermin bersih dan dipasang dengan posisi yang nyaman digunakan|Tempat sampah tersedia dan rutin dikosongkan|Pengharum ruangan berfungsi dengan baik sehingga toilet terasa segar",,,,"Toilet bersih dan terawat dengan baik|Toilet aman dan memberikan rasa privasi bagi pengguna|Toilet nyaman digunakan oleh pengunjung",,,,"a474c7c6-43db-448d-9a2e-21a2e5362c0d","Completed",,"11-10-2025 11:15:00",,"82470",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"58","IDM","BOROBUDUR","TOILET","Simpul Gate","IDM-BOROBUDUR-TOILET-Simpul Gate-01","5","Satisfied","5","Di pertahankan kebersihan nya","Cleanliness and Hygiene of Toilets","Positive","5","5","5","5","5","5","Memiliki penampilan yang bersih dan rapi|Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas",,,,"Toilet duduk dan jongkok tersedia dalam kondisi bersih dan berfungsi dengan baik|Air tersedia dengan lancar dan cukup untuk kebutuhan pengguna|Wastafel bersih dan berfungsi dengan baik|Urinoir bersih dan mudah digunakan|Tisu tersedia dengan cukup untuk digunakan|Sabun tersedia dan dapat digunakan dengan mudah|Pengering tangan berfungsi dengan baik|Lady bin tersedia dan bersih|Cermin bersih dan dipasang dengan posisi yang nyaman digunakan|Tempat sampah tersedia dan rutin dikosongkan|Pengharum ruangan berfungsi dengan baik sehingga toilet terasa segar",,"Tisu tidak tersedia",,"Toilet bersih dan terawat dengan baik|Toilet nyaman digunakan oleh pengunjung|Toilet aman dan memberikan rasa privasi bagi pengguna",,,,"8babcae9-e564-4edd-9b5a-c15b28a29792","Completed",,"13-10-2025 12:10:00",,"146184",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"59","IDM","PRAMBANAN","TOILET","H","IDM-PRAMBANAN-TOILET-H-01","4","Satisfied","4","Toilet bagus, wangi, dan bersih petugas ramah dan murah senyum sekian terimakasih 🥰🙏🙏","Cleanliness and Hygiene of Toilets","Positive",,,,,"4","4",,,,,"Tisu tersedia dengan cukup untuk digunakan",,,,"Toilet bersih dan terawat dengan baik",,,,"94b69b01-1d21-48b5-84a5-5cad05fc8743","Completed",,"14-10-2025 09:33:00",,"164181",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"60","IDM","TMII","TOILET","Merchandise Store","IDM-TMII-TOILET -Merchandise Store-01","5","Satisfied","5","Kebersihan dan kewangian toiletnya sangat terjaga, kami menggunakannya terasa nyaman dan higienis","Cleanliness and Hygiene of Toilets","Positive",,,,,"5","5",,,,,"Toilet duduk dan jongkok tersedia dalam kondisi bersih dan berfungsi dengan baik|Air tersedia dengan lancar dan cukup untuk kebutuhan pengguna|Wastafel bersih dan berfungsi dengan baik|Tisu tersedia dengan cukup untuk digunakan|Cermin bersih dan dipasang dengan posisi yang nyaman digunakan",,,,"Toilet bersih dan terawat dengan baik",,,,"de1bff76-a647-41cd-a373-b2da1f6c1fd4","Completed",,"15-10-2025 11:58:00",,"2408565",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"61","IDM","TMII","TOILET","Plaza Selatan","IDM-TMII-TOILET -Plaza Selatan-01","5","Satisfied","5","BERSIH, NYAMAN DAN KERING (TOILET DEPAN SASANA KRIYA)","Cleanliness and Hygiene of Toilets","Positive","5","5","5","5","5","5","Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme|Melayani dengan cepat dan tepat|Membantu dan memastikan kesiapan fasilitas|Memiliki penampilan yang bersih dan rapi",,,,"Toilet duduk dan jongkok tersedia dalam kondisi bersih dan berfungsi dengan baik|Urinoir bersih dan mudah digunakan|Air tersedia dengan lancar dan cukup untuk kebutuhan pengguna|Wastafel bersih dan berfungsi dengan baik|Sabun tersedia dan dapat digunakan dengan mudah|Tisu tersedia dengan cukup untuk digunakan|Pengering tangan berfungsi dengan baik|Cermin bersih dan dipasang dengan posisi yang nyaman digunakan|Tempat sampah tersedia dan rutin dikosongkan|Pengharum ruangan berfungsi dengan baik sehingga toilet terasa segar",,"Cermin kotor atau dipasang di posisi yang kurang nyaman",,"Toilet bersih dan terawat dengan baik|Toilet aman dan memberikan rasa privasi bagi pengguna|Toilet nyaman digunakan oleh pengunjung",,,,"c46b3e45-e1f2-452b-9e93-1c7e3d961a3e","Completed",,"16-10-2025 14:40:00",,"209084",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"62","IDM","TMII","TOILET","Plaza Selatan","IDM-TMII-TOILET -Plaza Selatan-01","5","Satisfied","5","Toilet-toilet di TMII mudah sekali ditemukan. Petunjuk arahnya jelas dan lokasinya juga strategis. Ini menambah rasa nyaman selama kami berkeliling di area yang luas.","Accessibility and Convenience (Gates, Gantungan, Baby Rooms)","Positive",,,"5","5","5","5",,,,,"Air tersedia dengan lancar dan cukup untuk kebutuhan pengguna|Wastafel bersih dan berfungsi dengan baik|Cermin bersih dan dipasang dengan posisi yang nyaman digunakan|Tempat sampah tersedia dan rutin dikosongkan",,"Pengharum ruangan tidak berfungsi sehingga toilet berbau tidak sedap",,"Toilet bersih dan terawat dengan baik|Toilet nyaman digunakan oleh pengunjung|Toilet aman dan memberikan rasa privasi bagi pengguna",,,,"4eb106b8-f3bc-4e79-babb-2b0615f50bee","Completed",,"16-10-2025 17:01:00",,"121583",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"63","IDM","TMII","TOILET","Panggung Budaya","IDM-TMII-TOILET -Panggung Budaya-01","2","Not Satisfied","2","kedepannya toilet bersih dan kering","Suggestions for Future Upgrades and Management","Positive",,,,,"2","2",,,,,,,"Lainnya","basah",,,"Toilet kotor atau kurang terawat|Toilet kurang nyaman digunakan oleh pengunjung",,"80d4e8e3-c91a-481a-b01a-ddb03d56ceb2","Completed",,"16-10-2025 17:25:00",,"99082",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"64","IDM","TMII","TOILET","Elevated Parking LT 2 Zona 1","IDM-TMII-TOILET -Elevated  Parking LT 2 Zona  1-01","3","Neutral","3",,,,,,"3","3",,,,,,,,,"Toilet duduk dan jongkok kotor atau tidak berfungsi dengan baik|Urinoir kotor atau tidak dapat digunakan|Wastafel kotor atau tidak berfungsi|Lady bin tidak tersedia atau dalam kondisi kotor|Cermin kotor atau dipasang di posisi yang kurang nyaman|Tempat sampah tidak tersedia atau jarang dikosongkan",,,,,,"769b2545-3108-418d-b856-24a12b162dc7","Completed",,"16-10-2025 19:10:00",,"119886",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"65","IDM","PRAMBANAN","TOILET","C","IDM-PRAMBANAN-TOILET-C-01","2","Not Satisfied","2","Tolong rutin di bersihkan, baunya pesing banget.","Odor Control and Air Quality","Negative",,,,,"2","2",,,,,,,"Urinoir kotor atau tidak dapat digunakan|Pengharum ruangan tidak berfungsi sehingga toilet berbau tidak sedap|Lainnya","Bau Pesing lantainya juga kotor, tidak seperti toilet yang di dekat pintu keluar bersih harum walaupun kondisi toiletnya ngga sebagus yang di pojok",,,"Toilet kotor atau kurang terawat|Toilet kurang nyaman digunakan oleh pengunjung",,"0a497328-4163-4496-968b-a29f4bfcc80b","Completed",,"18-10-2025 11:43:00",,"4637375",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"66","IDM","TMII","TOILET","Merchandise Store","IDM-TMII-TOILET -Merchandise Store-01","1","Not Satisfied","1","tmii sebesar ini toilet cuma 2 , yg bener aja","Cleanliness and Hygiene of Toilets","Negative",,,"1","1",,,,,,,,,"Toilet duduk dan jongkok kotor atau tidak berfungsi dengan baik",,,,,,"178aca4a-4142-47bd-98d3-5232cbf2ed18","Completed",,"19-10-2025 14:24:00",,"42153",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"67","IDM","PRAMBANAN","TOILET","CS","IDM-PRAMBANAN-TOILET-CS-01","2","Not Satisfied","2","Kein Toilettenpapier vorhanden: :( ;-;","Provision of Toiletry Supplies (Tissue, Soap, Disinfectant)","Negative",,,"2","2",,,,,,,,,"Tisu tidak tersedia",,,,,,"7d41051a-c4aa-4f49-9801-03f094c78a31","Completed",,"19-10-2025 16:14:00",,"51517",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"68","IDM","TMII","TOILET","Panggung Budaya","IDM-TMII-TOILET -Panggung Budaya-01","5","Satisfied","5","Sangat nyaman dan bersih, lokasi nya sangat dekat dari istana anak, tidak merepotkan harus naik wara wiri ditambah nuansanya sangat instagramable😄","Cleanliness and Hygiene of Toilets","Positive",,,"5","5","5","5",,,,,"Air tersedia dengan lancar dan cukup untuk kebutuhan pengguna|Wastafel bersih dan berfungsi dengan baik|Tisu tersedia dengan cukup untuk digunakan|Toilet duduk dan jongkok tersedia dalam kondisi bersih dan berfungsi dengan baik|Sabun tersedia dan dapat digunakan dengan mudah",,,,"Toilet bersih dan terawat dengan baik|Toilet nyaman digunakan oleh pengunjung",,,,"e8846b24-95de-4477-a172-e1117a3c5017","Completed",,"22-10-2025 10:35:00",,"270843",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"69","IDM","TMII","TOILET","Merchandise Store","IDM-TMII-TOILET -Merchandise Store-01","2","Not Satisfied","2","Tolong di perbaiki agar pengunjung merasa nyaman","Suggestions for Future Upgrades and Management","Positive",,,,,"2","2",,,,,,,"Lainnya","Handle pintu yang rusak yang berada di marchendes store",,,"Toilet kurang nyaman digunakan oleh pengunjung",,"e5e49b47-48a7-44ab-ab18-29a6ff9e475e","Completed",,"23-10-2025 08:54:00",,"216357",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822","20",,"true",,,,,,,,,,,,,,,,,,"Untitled-Import-2",
"70","IDM","PRAMBANAN","TOILET","F","IDM-PRAMBANAN-TOILET-F-01","5","Satisfied","5","wangi, bersih dan nyaman","Cleanliness and Hygiene of Toilets","Positive","5","5","5","5","5","5","Memiliki penampilan yang bersih dan rapi",,,,"Urinoir bersih dan mudah digunakan|Toilet duduk dan jongkok tersedia dalam kondisi bersih dan berfungsi dengan baik",,,,"Toilet bersih dan terawat dengan baik|Toilet nyaman digunakan oleh pengunjung",,,,"651bef5a-a4a2-4bf3-98d6-086b3375c701","Completed","New","26-11-2025 15:11:31","Anonymous","89418",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822",,,"true","False","QrCode","English","2025-11-26T08:10:01.0940Z",,,,,,,,,,,,,,,"68b5aef6ba36f57e40594794"
"71","IDM","TMII","TOILET","Elevated Parking LT 1 Zona 1","IDM-TMII-TOILET - Elevated Parking LT 1 Zona 1-01","4","Satisfied","4","di gedung parkir tolong toilet nya di dikasih exhaust fan, dan musholanya kasih kipas angin","Additional Facilities and Amenities (Nursery Room, Exhaust Fans, Plants)","Neutral","5","5","4","4","5","5","Memiliki penampilan yang bersih dan rapi",,,,"Toilet duduk dan jongkok tersedia dalam kondisi bersih dan berfungsi dengan baik|Tisu tersedia dengan cukup untuk digunakan|Wastafel bersih dan berfungsi dengan baik|Urinoir bersih dan mudah digunakan|Air tersedia dengan lancar dan cukup untuk kebutuhan pengguna",,,,"Toilet bersih dan terawat dengan baik|Toilet aman dan memberikan rasa privasi bagi pengguna",,,,"cc5c4f05-8595-483b-9990-e85ceeb7475b","Completed","New","26-11-2025 14:02:23","Anonymous","164776",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822",,,"true","False","QrCode","Bahasa","2025-11-26T06:59:37.8629Z",,,,,,,,,,,,,,,"68b5aef6ba36f57e40594794"
"72","IDM","PRAMBANAN","TOILET","Museum","IDM-PRAMBANAN-TOILET-Museum-01","4","Satisfied","4","Jika bisa saat siang hari lampu dimatikan, atau diganti dengan warna cerah karena warnanya kuning untuk lampu penerangan sehingga jika malam kurang cerah",,"Neutral","4","4","5","5","5","5","Membantu dan memastikan kesiapan fasilitas|Memiliki penampilan yang bersih dan rapi",,,,"Urinoir bersih dan mudah digunakan|Toilet duduk dan jongkok tersedia dalam kondisi bersih dan berfungsi dengan baik|Air tersedia dengan lancar dan cukup untuk kebutuhan pengguna|Wastafel bersih dan berfungsi dengan baik",,,,"Toilet bersih dan terawat dengan baik|Toilet aman dan memberikan rasa privasi bagi pengguna|Toilet nyaman digunakan oleh pengunjung",,,,"ce2afca4-cfcc-46d9-9414-af3fed5cb882","Completed","New","25-11-2025 10:52:46","Anonymous","118343",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822",,,"true","False","QrCode","Bahasa","2025-11-25T03:50:47.2958Z",,,,,,,,,,,,,,,"68b5aef6ba36f57e40594794"
"73","IDM","TMII","TOILET","Elevated  Parking LT 1 Zona  3","IDM-TMII-TOILET -Elevated  Parking LT 1 Zona  3-01","1","Not Satisfied","1","Jorok banget","Cleanliness and Hygiene of Toilets","Negative","2","2","2","2","1","1",,,"Tidak membantu dan memastikan kesiapan fasilitas",,,,"Toilet duduk dan jongkok kotor atau tidak berfungsi dengan baik|Urinoir kotor atau tidak dapat digunakan|Wastafel kotor atau tidak berfungsi|Tisu tidak tersedia|Sabun habis atau tidak tersedia|Pengharum ruangan tidak berfungsi sehingga toilet berbau tidak sedap",,,,"Toilet kotor atau kurang terawat|Toilet kurang nyaman digunakan oleh pengunjung|Toilet kurang aman atau tidak memberikan privasi yang cukup bagi pengguna",,"4469013c-fb87-466a-a000-be2dc555d2e3","Completed","New","23-11-2025 08:30:53","Anonymous","66096",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822",,,"true","False","QrCode","Bahasa","2025-11-23T01:29:37.8530Z",,,,,,,,,,,,,,,"68b5aef6ba36f57e40594794"
"74","IDM","TMII","TOILET","Elevated Parking LT 1 Zona 1","IDM-TMII-TOILET - Elevated Parking LT 1 Zona 1-01","5","Satisfied","5","selamat malam bapak/ibu izin melaporkan untuk angling yang di shift 20-11-2025 / 19.00, yang arah ke skyword dimohon untuk sabar menunggu di halte atau menjemput nya selagi masih ada orang dikarenakan cuaca sedang lagi HUJAN. Harusnya sudah ada fasilitas penjemputan ngga mesti kita harus jalan kaki dong ke pintu utama nya dan untuk SERVIS EXCELLENT nya dipakai lebih baik lagi ya untuk supir angling nya. Semoga ke depannya lebih baik lagi, terimakasih..","Staff Performance and Service Quality","Positive","4","4","5","5","5","5","Memiliki penampilan yang bersih dan rapi",,,,"Toilet duduk dan jongkok tersedia dalam kondisi bersih dan berfungsi dengan baik|Tisu tersedia dengan cukup untuk digunakan|Sabun tersedia dan dapat digunakan dengan mudah|Pengharum ruangan berfungsi dengan baik sehingga toilet terasa segar|Tempat sampah tersedia dan rutin dikosongkan|Cermin bersih dan dipasang dengan posisi yang nyaman digunakan|Lady bin tersedia dan bersih|Pengering tangan berfungsi dengan baik|Wastafel bersih dan berfungsi dengan baik|Air tersedia dengan lancar dan cukup untuk kebutuhan pengguna|Urinoir bersih dan mudah digunakan",,,,"Toilet bersih dan terawat dengan baik|Toilet nyaman digunakan oleh pengunjung|Toilet aman dan memberikan rasa privasi bagi pengguna",,,,"bc1e8f55-fe92-4c6a-b703-9940d8a0fb84","Completed","New","20-11-2025 20:00:38","Anonymous","1127977",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822",,,"true","False","QrCode","Bahasa","2025-11-20T12:41:50.5512Z",,,,,,,,,,,,,,,"68b5aef6ba36f57e40594794"
"75","IDM","TMII","TOILET","Elevated Parking LT 1 Zona 1","IDM-TMII-TOILET - Elevated Parking LT 1 Zona 1-01","1","Not Satisfied","1","sebaiknya diberikan pengharum, dikarenakan toilet sangat bauuu menyengat yang menyebabkan mual","Provision of Toiletry Supplies (Tissue, Soap, Disinfectant)","Negative","2","2","1","1","1","1",,,"Tidak melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme",,,,"Tisu tidak tersedia|Pengharum ruangan tidak berfungsi sehingga toilet berbau tidak sedap|Toilet duduk dan jongkok kotor atau tidak berfungsi dengan baik",,,,"Toilet kotor atau kurang terawat|Toilet kurang nyaman digunakan oleh pengunjung",,"44e30d6f-a3b0-47f5-8bb2-dfaa7b694204","Completed","New","20-11-2025 14:18:42","Anonymous","108089",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822",,,"true","False","QrCode","Bahasa","2025-11-20T07:16:53.2878Z",,,,,,,,,,,,,,,"68b5aef6ba36f57e40594794"
"76","IDM","PRAMBANAN","TOILET","F","IDM-PRAMBANAN-TOILET-F-01","2","Not Satisfied","2","toilet bau, banyak air kemana mana, dan tidak ada tissue sama sekali","Cleanliness and Hygiene of Toilets","Negative","3","3","1","1","1","1",,,"Lainnya","tidak ada staff berjaga",,,"Tisu tidak tersedia",,,,"Toilet kurang nyaman digunakan oleh pengunjung",,"94363fe9-74f9-45da-a99c-5096b48b49d1","Completed","New","20-11-2025 14:09:13","Anonymous","92865",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822",,,"true","False","QrCode","Bahasa","2025-11-20T07:07:39.3064Z",,,,,,,,,,,,,,,"68b5aef6ba36f57e40594794"
"77","IDM","TMII","TOILET","Merchandise Store","IDM-TMII-TOILET -Merchandise Store-01","5","Satisfied","5","Toilet nya bersih","Cleanliness and Hygiene of Toilets","Positive","5","5","5","5","5","5","Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme",,,,"Tisu tersedia dengan cukup untuk digunakan",,,,"Toilet bersih dan terawat dengan baik",,,,"1b87ce7b-ca0f-411e-a4d5-b7c198d3d53e","Completed","New","18-11-2025 14:48:10","Anonymous","47848",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822",,,"true","False","QrCode","Bahasa","2025-11-18T07:47:23.1623Z",,,,,,,,,,,,,,,"68b5aef6ba36f57e40594794"
"78","IDM","TMII","TOILET","Elevated  Parking Basement Zona 3","IDM-TMII-TOILET -Elevated  Parking Basement Zona 3-01","3","Neutral","3","Toilet nya bersih, minus nya bau rokok banget, kalo bisa jangan lah ngeroko di toilet, ventilasi nya kecil didalem toilet ngeroko, gak ada sirkulasi udara, klo bisaa di larang ngeroko ditoilet biar wangi toiletnya, sayang banget udah bersih tapi bau roko","Cleanliness and Hygiene of Toilets|Odor Control and Air Quality",,"5","5","5","5","3","3","Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme",,,,"Lainnya","Bersih semua, cuman minus ada yang ngetoko di toilet",,,,,"Lainnya","Bau rokok, ada yang ngeroko di toilet","6252e2fc-f393-4817-a18e-6dcb3ab9c5ce","Completed","New","16-11-2025 09:15:02","Anonymous","203226",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822",,,"true","False","QrCode","Bahasa","2025-11-16T02:11:38.4752Z",,,,,,,,,,,,,,,"68b5aef6ba36f57e40594794"
"79","IDM","TEATER","TOILET","Trimurti","IDM-TEATER-TOILET-Trimurti-01","5","Satisfied","5","Test",,"Neutral","5","5","5","5","5","5","Melayani dengan sikap ramah, menjaga kontak mata, tersenyum tulus, dan memberikan solusi dengan empati serta profesionalisme",,,,"Air tersedia dengan lancar dan cukup untuk kebutuhan pengguna",,,,"Toilet aman dan memberikan rasa privasi bagi pengguna",,,,"e90854ec-4880-4c44-ac2f-ce7606a8031a","Completed","New","11-11-2025 14:15:22","Anonymous","14456",,"cab97c1f-67b4-11f0-a847-0a0cda9789f2","70fc7a7c-45d7-4b5f-866d-13eba967a822",,,"true","False","QrCode","Bahasa","2025-11-11T07:15:08.4408Z",,,,,,,,,,,,,,,"68b5aef6ba36f57e40594794"
